iso_code,location,gdp by billions,total_cases,population in millions,total_deaths,density(P/KM^2),total_cases_per_million,new_cases_per_million,total_deaths_per_million,0 or 1 Average,0 or 1 Median,40.16295567,3.09
MWI,Malawi,6.3,36,19.13,3,203,1.88,0,0.16,0,0,,
MYS,Malaysia,315,5945,32.37,100,99,183.68,2.9,3.09,0,1,,
NAM,Namibia,13.25,16,2.54,0,3,6.3,0,0,0,0,,
NCL,New Caledonia,2.68,18,0.29,0,16,63.05,0,0,0,0,,
NER,Niger,8.12,713,24.21,32,19,29.46,0.17,1.32,0,0,,
NGA,Nigeria,376,1728,206.14,51,226,8.38,0.95,0.25,0,0,,
NIC,Nicaragua,13.81,14,6.62,55,1,2.11,0.15,0.6,0,0,,
NLD,Netherlands,831,38802,17.13,508,145,2264.51,22.53,274.94,1,1,,
NOR,Norway,399,7667,5.42,202,15,1414.25,11.44,37.26,0,1,,
NPL,Nepal,24.88,57,29.14,0,203,1.96,0.1,0,0,0,,
NZL,New Zealand,204,1129,4.82,19,18,234.12,0.62,3.94,0,1,,
OMN,Oman,70.78,2274,5.11,10,16,445.3,28,1.96,0,0,,
PAK,Pakistan,305,15759,220.89,346,287,71.34,3.96,1.57,0,0,,
PAN,Panama,62.28,6378,4.31,178,58,1478.18,41.25,41.25,1,1,,
PER,Peru,211,33931,32.97,943,26,1029.09,83.13,28.6,0,1,,
PHL,Philippines,314,8212,109.58,558,368,74.94,2.32,5.09,0,1,,
PNG,Papua New Guinea,20.54,8,8.95,0,20,0.89,0,0,0,0,,
POL,Poland,526,12640,37.85,624,124,333.98,11.15,16.49,0,1,,
PRI,Puerto Rico,101.1,1433,2.86,86,323,500.9,11.54,30.06,0,1,,
PRT,Portugal,219,24505,10.2,973,111,2403.23,17.95,95.42,1,1,,
PRY,Paraguay,39.67,249,7.13,9,18,34.91,1.4,1.26,0,0,,
PSE,Palestine,14.5,507,5.05,2,847,99.38,2.35,0.39,0,0,,
PYF,French Polynesia,3.45,58,0.28,0,77,206.48,0,0,0,0,,
QAT,Qatar,167,12564,2.88,10,248,4360.9,223.18,3.47,0,1,,
